INDIV	Sire	Dam	FAM	DaysM	Sex	Market
1509	722	501	722-501	476.95	2	0
1510	722	501	722-501	771.81	2	1
1511	722	501	722-501	635.22	2	1
1512	722	501	722-501	513.94	2	1
1513	728	683	728-683	524.33	2	1
1514	728	683	728-683	527.53	2	1
1515	728	683	728-683	541.95	1	1
1516	728	683	728-683	545.22	1	1
1517	728	683	728-683	500.22	1	0
1518	728	683	728-683	564.47	2	1
1519	626	594	626-594	603.02	1	1
1520	626	594	626-594	660.7	1	1
1521	626	594	626-594	739.62	1	1
1522	626	594	626-594	570.17	2	1
1523	626	594	626-594	587.22	1	1
1524	623	504	623-504	551.23	2	1
1525	623	504	623-504	467.56	2	0
1526	623	504	623-504	453.58	1	0
1527	623	504	623-504	498.51	2	1
1528	623	504	623-504	635.73	1	1
1529	623	504	623-504	485.35	1	1
1530	623	504	623-504	579.2	2	1
1531	610	682	610-682	547.75	2	1
1532	610	682	610-682	567.21	2	1
1533	610	682	610-682	537.17	1	1
1534	610	682	610-682	541.04	2	1
1535	610	682	610-682	518.44	2	1
1536	610	682	610-682	528.01	1	1
1537	610	682	610-682	598.8	1	1
1538	610	682	610-682	621.8	2	1
1539	610	682	610-682	535.88	1	1
1540	664	716	664-716	660.71	2	1
1541	664	716	664-716	576.49	2	1
1542	664	716	664-716	716.67	1	1
1543	664	716	664-716	685.57	2	1
1544	664	716	664-716	511.77	1	1
1545	664	716	664-716	603.82	2	1
1546	664	716	664-716	668	2	1
1547	528	520	528-520	534.77	2	1
1548	528	520	528-520	629.53	1	1
1549	528	520	528-520	535.75	1	1
1550	528	520	528-520	642.2	1	1
1551	528	520	528-520	524.21	2	1
1552	528	520	528-520	553.11	2	1
1553	631	690	631-690	475.41	2	0
1554	631	690	631-690	622.9	2	1
1555	631	690	631-690	515.04	1	1
1556	631	690	631-690	499.68	2	0
1557	631	690	631-690	495.06	1	1
1558	631	690	631-690	518.63	2	1
1559	588	629	588-629	538.98	1	1
1560	588	629	588-629	535.14	1	1
1561	588	629	588-629	573.29	2	1
1562	588	629	588-629	473.4	1	0
1563	588	629	588-629	520.42	1	0
1564	513	515	513-515	540.49	2	1
1565	513	515	513-515	503.48	2	1
1566	513	515	513-515	569.9	2	1
1567	513	515	513-515	505.37	2	0
1568	513	515	513-515	440.16	1	0
1569	513	515	513-515	644.37	2	1
1570	663	729	663-729	481.1	2	0
1571	663	729	663-729	442.61	1	0
1572	663	729	663-729	452.56	1	0
1573	663	729	663-729	594.02	1	1
1574	663	729	663-729	449.75	1	0
1575	663	729	663-729	551.58	2	1
1576	663	729	663-729	476.03	1	0
1577	663	729	663-729	515.77	2	1
1578	663	729	663-729	461.29	1	1
1579	663	729	663-729	623.65	1	1
1580	609	583	609-583	497.27	1	0
1581	609	583	609-583	628.85	1	1
1582	609	583	609-583	567.28	2	1
1583	609	583	609-583	489.72	1	0
1584	509	709	509-709	487.55	2	0
1585	509	709	509-709	498.35	2	1
1586	509	709	509-709	501.51	1	1
1587	509	709	509-709	515.18	2	0
1588	509	709	509-709	563.97	1	1
1589	509	709	509-709	559.36	2	1
1590	641	695	641-695	533.7	2	1
1591	641	695	641-695	485.93	1	0
1592	641	695	641-695	532.1	2	1
1593	641	695	641-695	653.48	2	1
1594	641	695	641-695	646.41	2	1
1595	641	695	641-695	496.21	2	0
1596	641	695	641-695	599.45	2	1
1597	641	695	641-695	535.92	2	1
1598	641	695	641-695	469.88	2	1
1599	641	695	641-695	561.24	2	1
1600	641	695	641-695	510.34	1	0
1601	714	738	714-738	601.19	2	1
1602	714	738	714-738	721.81	2	1
1603	714	738	714-738	659.43	1	1
1604	714	738	714-738	836.83	2	1
1605	714	738	714-738	493.6	1	1
1606	714	738	714-738	497.6	1	1
1607	724	544	724-544	531.56	1	1
1608	724	544	724-544	669.58	2	1
1609	724	544	724-544	673.87	2	1
1610	724	544	724-544	565.04	2	1
1611	724	544	724-544	506.39	2	1
1612	724	544	724-544	623.97	2	1
1613	600	734	600-734	564.22	2	1
1614	600	734	600-734	627.65	2	1
1615	600	734	600-734	598.54	2	1
1616	600	734	600-734	468.64	2	0
1617	600	734	600-734	571.05	1	1
1618	600	734	600-734	489.64	2	1
1619	600	734	600-734	527.08	1	1
1620	600	734	600-734	530.45	1	1
1621	642	670	642-670	594.56	1	1
1622	642	670	642-670	612.52	2	1
1623	642	670	642-670	568.17	2	1
1624	642	670	642-670	481.67	1	1
1625	642	670	642-670	516.39	1	1
1626	642	670	642-670	496.96	1	1
1627	642	670	642-670	568.54	1	1
1628	642	670	642-670	584.83	2	1
1629	642	670	642-670	782	1	1
1630	642	670	642-670	555.41	2	1
1631	642	670	642-670	543.31	2	1
1632	730	550	730-550	481.98	2	0
1633	508	534	508-534	460.93	2	1
1634	508	534	508-534	428.55	1	0
1635	508	534	508-534	474.11	2	1
1636	508	534	508-534	457.78	1	0
1637	508	534	508-534	599.5	2	1
1638	508	534	508-534	599.56	2	1
1639	508	534	508-534	559.65	2	1
1640	508	534	508-534	524.82	2	1
1641	508	534	508-534	613.03	2	1
1642	668	720	668-720	531.12	1	1
1643	668	720	668-720	659.89	2	1
1644	668	720	668-720	507.97	1	1
1645	668	720	668-720	535.91	1	1
1646	668	720	668-720	533.1	1	1
1647	668	720	668-720	504.43	1	1
1648	613	517	613-517	617.57	2	1
1649	613	517	613-517	611	2	1
1650	613	517	613-517	828.86	1	1
1651	613	517	613-517	693.03	2	1
1652	613	517	613-517	711.43	2	1
1653	613	517	613-517	521.85	1	1
1654	613	517	613-517	654.4	2	1
1655	621	569	621-569	457.79	1	0
1656	621	569	621-569	480.35	2	1
1657	621	569	621-569	676.28	1	1
1658	621	569	621-569	805.77	1	1
1659	621	569	621-569	555.3	2	1
1660	621	569	621-569	580.32	1	1
1661	621	569	621-569	533.56	2	1
1662	563	512	563-512	565.74	2	1
1663	563	512	563-512	762.04	2	1
1664	563	512	563-512	523.49	2	0
1665	563	512	563-512	523.3	2	1
1666	563	512	563-512	494.55	2	0
1667	563	512	563-512	618.4	1	1
1668	563	512	563-512	506.05	1	0
1669	531	561	531-561	558.64	1	1
1670	531	561	531-561	640.5	2	1
1671	531	561	531-561	488.08	1	1
1672	531	561	531-561	679.87	2	1
1673	531	561	531-561	638.71	2	1
1674	531	561	531-561	636.42	2	1
1675	531	561	531-561	540.65	1	1
1676	531	561	531-561	639.43	1	1
1677	531	561	531-561	915.63	2	1
1678	531	561	531-561	584.07	2	1
1679	531	561	531-561	723.79	2	1
1680	679	698	679-698	437.01	1	0
1681	679	698	679-698	499.52	1	1
1682	679	698	679-698	532.85	1	1
1683	679	698	679-698	550.02	2	1
1684	679	698	679-698	541.86	1	1
1685	679	698	679-698	557.98	1	1
1686	679	698	679-698	710.93	1	1
1687	679	698	679-698	574.47	2	1
1688	679	698	679-698	646.8	2	1
1689	679	698	679-698	478.09	2	0
1690	679	698	679-698	568.2	1	1
1691	614	649	614-649	628.36	1	1
1692	614	649	614-649	697.44	2	1
1693	614	649	614-649	595.18	2	1
1694	614	649	614-649	541.02	2	1
1695	614	649	614-649	541.35	2	1
1696	614	649	614-649	543.05	1	1
1697	614	649	614-649	440.79	1	0
1698	614	649	614-649	479.23	2	0
1699	586	661	586-661	576.9	2	1
1700	586	661	586-661	587.16	2	1
1701	586	661	586-661	554.67	2	1
1702	586	661	586-661	674.64	2	1
1703	586	661	586-661	487.11	1	1
1704	586	661	586-661	552.77	2	1
1705	586	661	586-661	470.98	1	0
1706	586	661	586-661	481.96	2	1
1707	715	643	715-643	579.59	2	1
1708	715	643	715-643	692.93	1	1
1709	715	643	715-643	486.53	1	1
1710	715	643	715-643	558.66	2	1
1711	715	643	715-643	537.11	1	1
1712	715	643	715-643	662.12	2	1
1713	715	643	715-643	457.61	2	0
1714	525	529	525-529	624.21	1	1
1715	525	529	525-529	725.38	1	1
1716	525	529	525-529	524.18	2	1
1717	525	529	525-529	587.24	2	1
1718	525	529	525-529	482.17	1	1
1719	525	529	525-529	504.5	2	1
1720	525	529	525-529	499	1	1
1721	525	529	525-529	622.77	2	1
