IDSORT	FamilyID	Female	Male	cloneid	Rep	IncBlock	Tree	VOL
189	53	Par924	Par907	771	1	18	9	NA
190	45	Par901	Par919	658	1	18	10	564.4213
191	11	Par929	Par920	149	1	17	6	NA
192	41	Par913	Par917	601	1	17	7	509.2368
193	31	Par908	Par927	448	1	17	8	NA
194	27	Par923	Par905	382	1	17	9	480.6806
195	14	Par925	Par908	194	1	17	10	NA
196	1	Par915	Par932	3	1	16	6	439.2273
197	25	Par905	Par927	358	1	16	7	397.9409
199	11	Par929	Par920	151	1	16	9	NA
202	10	Par905	Par930	129	1	15	7	589.7649
203	33	Par908	Par914	472	1	15	8	619.3792
204	24	Par915	Par904	335	1	15	9	NA
205	40	Par922	Par917	580	1	15	10	553.3168
206	24	Par915	Par904	332	1	14	6	475.761
207	13	Par901	Par916	187	1	14	7	NA
208	2	Par910	Par908	20	1	14	8	354.1228
209	61	Par912	Par904	868	1	14	9	NA
210	54	Par919	Par920	787	1	14	10	NA
212	24	Par915	Par904	343	1	13	7	563.4031
213	13	Par901	Par916	173	1	13	8	NA
214	12	Par917	Par921	164	1	13	9	NA
215	60	Par929	Par904	842	1	13	10	723.3594
218	31	Par908	Par927	456	1	12	8	NA
219	25	Par905	Par927	360	1	12	9	NA
220	15	Par909	Par914	202	1	12	10	304.2887
221	47	Par928	Par904	685	1	23	1	NA
222	25	Par905	Par927	349	1	23	2	NA
223	60	Par929	Par904	840	1	23	3	NA
225	32	Par928	Par930	462	1	23	5	379.0398
226	52	Par911	Par905	759	1	24	1	528.2684
227	1	Par915	Par932	1	1	24	2	NA
228	39	Par912	Par923	564	1	24	3	NA
229	32	Par928	Par930	460	1	24	4	658.6208
232	11	Par929	Par920	145	1	25	2	NA
233	58	Par919	Par926	822	1	25	3	NA
234	3	Par903	Par927	36	1	25	4	NA
235	52	Par911	Par905	745	1	25	5	463.7218
236	12	Par917	Par921	156	1	26	1	661.195
237	1	Par915	Par932	6	1	26	2	529.4027
238	45	Par901	Par919	655	1	26	3	439.2273
239	53	Par924	Par907	768	1	26	4	495.8465
240	32	Par928	Par930	465	1	26	5	593.4271
242	27	Par923	Par905	393	1	27	2	792.1766
243	24	Par915	Par904	337	1	27	3	563.4031
244	46	Par927	Par931	680	1	27	4	714.0927
245	41	Par913	Par917	596	1	27	5	833.5656
246	22	Par913	Par923	300	1	28	1	714.0927
247	14	Par925	Par908	191	1	28	2	NA
248	3	Par903	Par927	33	1	28	3	865.1959
249	61	Par912	Par904	852	1	28	4	925.099
250	54	Par919	Par920	777	1	28	5	432.4891
252	60	Par929	Par904	847	1	29	2	611.016
253	25	Par905	Par927	355	1	29	3	NA
254	23	Par901	Par924	325	1	29	4	782.2818
255	52	Par911	Par905	755	1	29	5	NA
