REP	FAMILY	FEMALE	MALE	YIELD	CHECKLOT
17	FAM138	PAR0053	PAR0061	180.025	0
17	FAM166	PAR0059	PAR0061	169.365	0
17	FAM158	PAR0059	PAR0007	178.584	0
17	FAM123	PAR0052	PAR0005	236.724	0
17	FAM034	PAR0012	PAR0003	176.616	0
17	FAM156	PAR0058	PAR0061	283.807	0
17	FAM070	PAR0040	PAR0037	264.502	0
17	FAM015	PAR0002	PAR0050	52.585	0
17	FAM035	PAR0012	PAR0047	281.928	0
17	FAM165	PAR0059	PAR0059	104.308	0
17	FAM009	PAR0001	PAR0061	146.795	0
17	FAM122	PAR0052	PAR0003	186.1	0
17	FAM008	PAR0001	PAR0027	163.088	0
17	FAM113	PAR0057	PAR0050	135.626	0
17	FAM041	PAR0026	PAR0022	258.657	0
17	FAM029	PAR0008	PAR0030	240.823	0
17	FAM045	PAR0025	PAR0052	157.145	0
17	FAM011	PAR0002	PAR0021	175.171	0
17	FAM152	PAR0056	PAR0059	133.462	0
17	FAM066	PAR0036	PAR0049	118.862	0
17	C10	C10	C10	NA	1
17	FAM154	PAR0058	PAR0004	141.11	0
17	FAM078	PAR0039	PAR0035	107.06	0
18	FAM056	PAR0033	PAR0033	213.139	0
18	FAM109	PAR0049	PAR0049	53.04	0
18	FAM103	PAR0060	PAR0047	30.324	0
18	FAM024	PAR0004	PAR0061	240.393	0
18	FAM073	PAR0038	PAR0048	234.773	0
18	FAM061	PAR0040	PAR0034	152.459	0
