INDIV	FEMALE	MALE
1303	FEM16	0
1304	FEM16	0
1305	FEM16	0
1306	FEM16	0
1307	FEM16	0
1308	FEM16	0
1309	FEM2	0
1310	FEM2	0
1311	FEM2	0
1312	FEM2	0
1313	FEM2	0
1314	FEM2	0
1315	FEM11	0
1316	FEM11	0
1317	FEM11	0
1318	FEM11	0
1319	FEM11	0
1320	FEM11	0
1321	FEM27	0
1322	FEM27	0
1323	FEM27	0
1324	FEM27	0
1325	FEM27	0
1326	FEM27	0
1327	FEM20	0
1328	FEM20	0
1329	FEM20	0
1330	FEM20	0
1331	FEM20	0
1332	FEM20	0
1333	FEM10	0
1334	FEM10	0
1335	FEM10	0
1336	FEM10	0
1337	FEM10	0
1338	FEM10	0
1339	C1	0
1340	C1	0
1341	C1	0
1342	C1	0
1343	C1	0
1344	C1	0
1345	C2	0
1346	C2	0
1347	C2	0
1348	C2	0
1349	C2	0
1350	C2	0
1351	FEM22	0
1352	FEM22	0
1353	FEM22	0
1354	FEM22	0
1355	FEM22	0
1356	FEM22	0
1357	FEM15	0
1358	FEM15	0
1359	FEM15	0
1360	FEM15	0
1361	FEM15	0
1362	FEM15	0
1363	FEM7	0
1364	FEM7	0
1365	FEM7	0
1366	FEM7	0
1367	FEM7	0
1368	FEM7	0
1369	FEM25	0
1370	FEM25	0
1371	FEM25	0
1372	FEM25	0
1373	FEM25	0
1374	FEM25	0
1375	FEM1	0
1376	FEM1	0
1377	FEM1	0
1378	FEM1	0
1379	FEM1	0
1380	FEM1	0
1381	FEM21	0
1382	FEM21	0
1383	FEM21	0
1384	FEM21	0
1385	FEM21	0
1386	FEM21	0
1387	C3	0
1388	C3	0
1389	C3	0
1390	C3	0
1391	C3	0
1392	C3	0
1393	C1	0
1394	C1	0
1395	C1	0
1396	C1	0
1397	C1	0
1398	C1	0
1399	FEM18	0
1400	FEM18	0
1401	FEM18	0
1402	FEM18	0
1403	FEM18	0
1404	FEM18	0
1405	FEM23	0
1406	FEM23	0
1407	FEM23	0
1408	FEM23	0
1409	FEM23	0
1410	FEM23	0
1411	FEM9	0
1412	FEM9	0
1413	FEM9	0
1414	FEM9	0
1415	FEM9	0
1416	FEM9	0
1417	FEM5	0
1418	FEM5	0
1419	FEM5	0
1420	FEM5	0
